identifiant;libelle_du_site;caracteristique_du_site;adresse;complement_d_adresse;lieu_dit;code_postal;localite;dept;pays;latitude;longitude;wgs84;Coeff_Total
17115A;ISSY LES MOULINEAUX OUEST;Bureau de poste;23 ALLEE SAINTE LUCIE;;;92130;ISSY LES MOULINEAUX;92;FRANCE;48.8202;2.25159;48.8202, 2.25159;1,20197563
66632A;ISSY FORUM SEINE BP;Bureau de poste;62 RUE CAMILLE DESMOULINS;ZAC FORUM DE SEINE IMMEUBLE APHELION;;92130;ISSY LES MOULINEAUX;92;FRANCE;48.83;2.26507;48.83, 2.26507;1,211001379
17144A;CLAMART LA PLAINE BP;Bureau de poste;360 AVENUE DU GENERAL DE GAULLE;;;92140;CLAMART;92;FRANCE;48.7855;2.25071;48.7855, 2.25071;1,220662544
17129A;SURESNES CITE JARDINS;Bureau de poste;PLACE DE LA PAIX;;;92150;SURESNES;92;FRANCE;48.8644;2.20601;48.8644, 2.20601;1,222549307
17086A;MEUDON REPUBLIQUE;Bureau de poste;17 RUE DE LA REPUBLIQUE;;;92190;MEUDON;92;FRANCE;48.8096;2.23628;48.8096, 2.23628;1,238200643
17151A;SAINT CLOUD COTEAUX BP;Bureau de poste;10 AVENUE ROMAND;;;92210;ST CLOUD;92;FRANCE;48.8558;2.21881;48.8558, 2.21881;1,201458323
17145A;MALAKOFF HENRI BARBUSSE BP;Bureau de poste;29 BOULEVARD DE STALINGRAD;;;92240;MALAKOFF;92;FRANCE;48.8139;2.2865;48.8139, 2.2865;1,222305715
17163A;FONTENAY SCARRON BP;Bureau de poste;RUE SCARRON;RUES DES FAUVETTES ET BENARD LOT C 5;;92260;FONTENAY AUX ROSES;92;FRANCE;48.791;2.29774;48.791, 2.29774;1,205087004
01898B;LES BRUYERES AP;Agence postale commnunale;2 ALLEE MARC BIRKIGT;ZAC LES BRUYERES;;92270;BOIS COLOMBES;92;FRANCE;48.9088;2.26189;48.9088, 2.26189;1,243718148
17165A;BOIS COLOMBES APC;Agence postale commnunale;108 RUE ADOLPHE GUYOT;;;92270;BOIS COLOMBES;92;FRANCE;48.9212;2.27198;48.9212, 2.27198;1,20247762
